No,°üÃø¼Ò¸í,°üÃø½Ã°£,À¯¼Ó(Kn & cm/s),À¯Çâ(¢ª),À¯Çâ16¹æÀ§,,,,,,,
1,¿ï¸ªµµºÏµ¿,2024-05-12 0:00,.72 & 36.8,205,³²³²¼­,,,,,,,
2,¿ï¸ªµµºÏµ¿,2024-05-12 0:30,.59 & 30.5,218,³²¼­,,,,,,,
3,¿ï¸ªµµºÏµ¿,2024-05-12 1:00,.63 & 32.4,207,³²³²¼­,,,,,,,
4,¿ï¸ªµµºÏµ¿,2024-05-12 1:30,.46 & 23.9,232,³²¼­,,,,,,,
5,¿ï¸ªµµºÏµ¿,2024-05-12 2:00,.39 & 20.3,243,¼­³²¼­,,,,,,,
6,¿ï¸ªµµºÏµ¿,2024-05-12 2:30,.05 & 2.7,332,ºÏºÏ¼­,,,,,,,
7,¿ï¸ªµµºÏµ¿,2024-05-12 3:00,.19 & 9.8,254,¼­³²¼­,,,,,,,
8,¿ï¸ªµµºÏµ¿,2024-05-12 3:30,.05 & 2.6,271,¼­,,,,,,,
9,¿ï¸ªµµºÏµ¿,2024-05-12 4:00,.08 & 4.1,308,ºÏ¼­,,,,,,,
10,¿ï¸ªµµºÏµ¿,2024-05-12 4:30,.11 & 5.8,229,³²¼­,,,,,,,
11,¿ï¸ªµµºÏµ¿,2024-05-12 5:00,.16 & 8.2,206,³²³²¼­,,,,,,,
12,¿ï¸ªµµºÏµ¿,2024-05-12 5:30,.24 & 12.6,192,³²³²¼­,,,,,,,
13,¿ï¸ªµµºÏµ¿,2024-05-12 6:00,.19 & 9.7,123,µ¿³²µ¿,,,,,,,
14,¿ï¸ªµµºÏµ¿,2024-05-12 6:30,.31 & 16,175,³²,,,,,,,
15,¿ï¸ªµµºÏµ¿,2024-05-12 7:00,.31 & 15.8,196,³²³²¼­,,,,,,,
16,¿ï¸ªµµºÏµ¿,2024-05-12 7:30,.5 & 25.9,175,³²,,,,,,,
17,¿ï¸ªµµºÏµ¿,2024-05-12 8:00,.44 & 22.8,169,³²,,,,,,,
18,¿ï¸ªµµºÏµ¿,2024-05-12 8:30,.6 & 31.1,173,³²,,,,,,,
19,¿ï¸ªµµºÏµ¿,2024-05-12 9:00,.66 & 34.1,177,³²,,,,,,,
20,¿ï¸ªµµºÏµ¿,2024-05-12 9:30,.37 & 19.1,189,³²,,,,,,,
21,¿ï¸ªµµºÏµ¿,2024-05-12 10:00,.61 & 31.5,177,³²,,,,,,,
22,¿ï¸ªµµºÏµ¿,2024-05-12 10:30,.57 & 29.4,176,³²,,,,,,,
23,¿ï¸ªµµºÏµ¿,2024-05-12 11:00,.4 & 20.6,184,³²,,,,,,,
24,¿ï¸ªµµºÏµ¿,2024-05-12 11:30,.53 & 27.5,197,³²³²¼­,,,,,,,
25,¿ï¸ªµµºÏµ¿,2024-05-12 12:00,.57 & 29.4,193,³²³²¼­,,,,,,,
26,¿ï¸ªµµºÏµ¿,2024-05-12 12:30,.87 & 44.7,186,³²,,,,,,,
27,¿ï¸ªµµºÏµ¿,2024-05-12 13:00,.74 & 38.1,197,³²³²¼­,,,,,,,
28,¿ï¸ªµµºÏµ¿,2024-05-12 13:30,.79 & 40.7,203,³²³²¼­,,,,,,,
29,¿ï¸ªµµºÏµ¿,2024-05-12 14:00,.73 & 37.7,205,³²³²¼­,,,,,,,
30,¿ï¸ªµµºÏµ¿,2024-05-12 14:30,.69 & 35.4,219,³²¼­,,,,,,,
31,¿ï¸ªµµºÏµ¿,2024-05-12 15:00,.93 & 48,207,³²³²¼­,,,,,,,
32,¿ï¸ªµµºÏµ¿,2024-05-12 15:30,.79 & 40.6,225,³²¼­,,,,,,,
33,¿ï¸ªµµºÏµ¿,2024-05-12 16:00,.78 & 40.3,222,³²¼­,,,,,,,
34,¿ï¸ªµµºÏµ¿,2024-05-12 16:30,.8 & 41,243,¼­³²¼­,,,,,,,
35,¿ï¸ªµµºÏµ¿,2024-05-12 17:00,.82 & 42,247,¼­³²¼­,,,,,,,
36,¿ï¸ªµµºÏµ¿,2024-05-12 17:30,.65 & 33.6,258,¼­³²¼­,,,,,,,
37,¿ï¸ªµµºÏµ¿,2024-05-12 18:00,.7 & 35.9,257,¼­³²¼­,,,,,,,
38,¿ï¸ªµµºÏµ¿,2024-05-12 18:30,.54 & 27.6,258,¼­³²¼­,,,,,,,
39,¿ï¸ªµµºÏµ¿,2024-05-12 19:00,.52 & 26.8,263,¼­,,,,,,,
40,¿ï¸ªµµºÏµ¿,2024-05-12 19:30,.55 & 28.4,257,¼­³²¼­,,,,,,,
41,¿ï¸ªµµºÏµ¿,2024-05-12 20:00,.45 & 23.3,262,¼­,,,,,,,
42,¿ï¸ªµµºÏµ¿,2024-05-12 20:30,.36 & 18.6,257,¼­³²¼­,,,,,,,
43,¿ï¸ªµµºÏµ¿,2024-05-12 21:00,.62 & 32.1,222,³²¼­,,,,,,,
44,¿ï¸ªµµºÏµ¿,2024-05-12 21:30,.57 & 29.4,221,³²¼­,,,,,,,
45,¿ï¸ªµµºÏµ¿,2024-05-12 22:00,.4 & 20.5,223,³²¼­,,,,,,,
46,¿ï¸ªµµºÏµ¿,2024-05-12 22:30,.18 & 9.4,230,³²¼­,,,,,,,
47,¿ï¸ªµµºÏµ¿,2024-05-12 23:00,.28 & 14.6,189,³²,,,,,,,
48,¿ï¸ªµµºÏµ¿,2024-05-12 23:30,.22 & 11.2,239,¼­³²¼­,,,,,,,
49,¿ï¸ªµµºÏµ¿,2024-05-13 0:00,.28 & 14.3,226,³²¼­,,,,,,,
50,¿ï¸ªµµºÏµ¿,2024-05-13 0:30,.52 & 26.6,209,³²³²¼­,,,,,,,
51,¿ï¸ªµµºÏµ¿,2024-05-13 1:00,.6 & 30.8,210,³²³²¼­,,,,,,,
52,¿ï¸ªµµºÏµ¿,2024-05-13 1:30,.64 & 33,211,³²³²¼­,,,,,,,
53,¿ï¸ªµµºÏµ¿,2024-05-13 2:00,.7 & 36.2,205,³²³²¼­,,,,,,,
54,¿ï¸ªµµºÏµ¿,2024-05-13 2:30,.55 & 28.4,216,³²¼­,,,,,,,
55,¿ï¸ªµµºÏµ¿,2024-05-13 3:00,.62 & 31.8,213,³²³²¼­,,,,,,,
56,¿ï¸ªµµºÏµ¿,2024-05-13 3:30,.68 & 35.1,211,³²³²¼­,,,,,,,
57,¿ï¸ªµµºÏµ¿,2024-05-13 4:00,.64 & 33,215,³²¼­,,,,,,,
58,¿ï¸ªµµºÏµ¿,2024-05-13 4:30,.73 & 37.7,216,³²¼­,,,,,,,
59,¿ï¸ªµµºÏµ¿,2024-05-13 5:00,.86 & 44.1,206,³²³²¼­,,,,,,,
60,¿ï¸ªµµºÏµ¿,2024-05-13 5:30,1.02 & 52.7,206,³²³²¼­,,,,,,,
61,¿ï¸ªµµºÏµ¿,2024-05-13 6:00,.85 & 43.9,216,³²¼­,,,,,,,
62,¿ï¸ªµµºÏµ¿,2024-05-13 6:30,.81 & 41.6,223,³²¼­,,,,,,,
63,¿ï¸ªµµºÏµ¿,2024-05-13 7:00,.8 & 41.3,220,³²¼­,,,,,,,
64,¿ï¸ªµµºÏµ¿,2024-05-13 7:30,.82 & 42.4,220,³²¼­,,,,,,,
65,¿ï¸ªµµºÏµ¿,2024-05-13 8:00,.8 & 41,227,³²¼­,,,,,,,
66,¿ï¸ªµµºÏµ¿,2024-05-13 8:30,.8 & 41.3,234,³²¼­,,,,,,,
67,¿ï¸ªµµºÏµ¿,2024-05-13 9:00,45.4,232,³²¼­,,,,,,,
68,¿ï¸ªµµºÏµ¿,2024-05-13 9:30,38.5,247,¼­³²¼­,,1,2,3,4,5,6
69,¿ï¸ªµµºÏµ¿,2024-05-13 10:00,40,240,¼­³²¼­,,45.4,40,33.4,28.9,27.9,37.9
70,¿ï¸ªµµºÏµ¿,2024-05-13 10:30,33.4,248,¼­³²¼­,,38.5,33.4,27.2,26.2,33.9,27.6
71,¿ï¸ªµµºÏµ¿,2024-05-13 11:00,33.4,235,³²¼­,,40,33.4,28.9,27.9,37.9,19.3
72,¿ï¸ªµµºÏµ¿,2024-05-13 11:30,27.2,242,¼­³²¼­,À¯¼Ó,41.3,35.6,29.83333333,27.66666667,33.23333333,28.26666667
73,¿ï¸ªµµºÏµ¿,2024-05-13 12:00,28.9,222,³²¼­,,,,,,,
74,¿ï¸ªµµºÏµ¿,2024-05-13 12:30,26.2,210,³²³²¼­,,1,2,3,4,5,6
75,¿ï¸ªµµºÏµ¿,2024-05-13 13:00,27.9,202,³²³²¼­,,232,240,235,222,202,194
76,¿ï¸ªµµºÏµ¿,2024-05-13 13:30,33.9,200,³²³²¼­,,247,248,242,210,200,223
77,¿ï¸ªµµºÏµ¿,2024-05-13 14:00,37.9,194,³²³²¼­,,240,235,222,202,194,234
78,¿ï¸ªµµºÏµ¿,2024-05-13 14:30,27.6,223,³²¼­,À¯Çâ,239.6666667,241,233,211.3333333,198.6666667,217
79,¿ï¸ªµµºÏµ¿,2024-05-13 15:00,19.3,234,³²¼­,,,,,,,
80,¿ï¸ªµµºÏµ¿,2024-05-13 15:30,.47 & 24.2,219,³²¼­,,,,,,,
81,¿ï¸ªµµºÏµ¿,2024-05-13 16:00,.43 & 21.9,223,³²¼­,,,,,,,
82,¿ï¸ªµµºÏµ¿,2024-05-13 16:30,.48 & 24.5,211,³²³²¼­,,,,,,,
83,¿ï¸ªµµºÏµ¿,2024-05-13 17:00,.22 & 11.2,219,³²¼­,,,,,,,
84,¿ï¸ªµµºÏµ¿,2024-05-13 17:30,.23 & 11.9,221,³²¼­,,,,,,,
85,¿ï¸ªµµºÏµ¿,2024-05-13 18:00,.27 & 14,220,³²¼­,,,,,,,
86,¿ï¸ªµµºÏµ¿,2024-05-13 18:30,.26 & 13.6,218,³²¼­,,,,,,,
87,¿ï¸ªµµºÏµ¿,2024-05-13 19:00,.46 & 23.7,205,³²³²¼­,,,,,,,
88,¿ï¸ªµµºÏµ¿,2024-05-13 19:30,.35 & 18,199,³²³²¼­,,,,,,,
89,¿ï¸ªµµºÏµ¿,2024-05-13 20:00,.39 & 19.9,186,³²,,,,,,,
90,¿ï¸ªµµºÏµ¿,2024-05-13 20:30,.28 & 14.5,212,³²³²¼­,,,,,,,
91,¿ï¸ªµµºÏµ¿,2024-05-13 21:00,.53 & 27.5,179,³²,,,,,,,
92,¿ï¸ªµµºÏµ¿,2024-05-13 21:30,.58 & 29.8,170,³²,,,,,,,
93,¿ï¸ªµµºÏµ¿,2024-05-13 22:00,.67 & 34.3,167,³²³²µ¿,,,,,,,
94,¿ï¸ªµµºÏµ¿,2024-05-13 22:30,.66 & 33.7,155,³²³²µ¿,,,,,,,
95,¿ï¸ªµµºÏµ¿,2024-05-13 23:00,.66 & 34.1,164,³²³²µ¿,,,,,,,
96,¿ï¸ªµµºÏµ¿,2024-05-13 23:30,.77 & 39.7,174,³²,,,,,,,
